clid	calldate	src	dst	dcontext	channel	lastapp	billsec
4742772704	2019-11-13 12:20:11	4742772704	242717	incoming	SIP/megafon-00048222	Dial	12
84742772704	2019-11-13 12:20:40	84742772704	s	incoming	Local/s@incoming-000113c8;2	Dial	2
8632107591	2019-11-13 12:20:17	8632107591	909800	incoming	DAHDI/i1/8632107591-13c5a	Dial	26
89050451955	2019-11-13 12:20:17	89050451955	909800	incoming	DAHDI/i1/89050451955-13c5b	Dial	27
84742772704	2019-11-13 12:20:40	84742772704	909800	incoming	DAHDI/i1/84742772704-13c5d	Dial	11
9104474322	2019-11-13 12:22:02	9104474322	s	incoming	Local/s@incoming-000113ca;2	Dial	3
9104474322	2019-11-13 12:22:02	9104474322	242717	incoming	SIP/megafon-00048230	Dial	62
89104474322	2019-11-13 12:23:46	89104474322	s	incoming	Local/s@incoming-000113ce;2	Dial	2
89104474322	2019-11-13 12:23:46	89104474322	909800	incoming	DAHDI/i1/89104474322-13c60	Dial	208
84742353064	2019-11-13 12:31:52	84742353064	s	incoming	Local/s@incoming-000113d0;2	Dial	2
9009889586	2019-11-13 12:32:06	9009889586	s	incoming	Local/s@incoming-000113d2;2	Dial	2
9009889586	2019-11-13 12:32:06	9009889586	909800	incoming	DAHDI/i1/9009889586-13c6c	Dial	194
84747722459	2019-11-13 12:35:28	84747722459	s	incoming	Local/s@incoming-000113d4;2	Dial	2
84747722459	2019-11-13 12:35:28	84747722459	909800	incoming	DAHDI/i1/84747722459-13c70	Dial	64
84742353064	2019-11-13 12:31:52	84742353064	909800	incoming	DAHDI/i1/84742353064-13c6b	Dial	454
4742766438	2019-11-13 12:44:08	4742766438	s	incoming	Local/s@incoming-000113d8;2	Dial	2
4742766438	2019-11-13 12:44:08	4742766438	909800	incoming	DAHDI/i1/4742766438-13c75	Dial	153
3832760329	2019-11-13 12:47:49	3832760329	s	incoming	Local/s@incoming-000113da;2	Dial	2
3832760329	2019-11-13 12:47:49	3832760329	909800	incoming	DAHDI/i1/3832760329-13c76	Dial	63
84742257025	2019-11-13 12:51:07	84742257025	s	incoming	Local/s@incoming-000113de;2	Dial	2
84742257025	2019-11-13 12:51:07	84742257025	909800	incoming	DAHDI/i1/84742257025-13c79	Dial	63
84742798316	2019-11-13 12:53:40	84742798316	s	incoming	Local/s@incoming-000113e0;2	Dial	2
8632800470	2019-11-13 12:54:00	8632800470	s	incoming	Local/s@incoming-000113e2;2	Dial	2
8632800470	2019-11-13 12:54:00	8632800470	909800	incoming	DAHDI/i1/8632800470-13c7b	Dial	25
84742798316	2019-11-13 12:53:40	84742798316	909800	incoming	DAHDI/i1/84742798316-13c7a	Dial	61
8632800470	2019-11-13 12:55:33	8632800470	s	incoming	Local/s@incoming-000113e6;2	Dial	2
8632800470	2019-11-13 12:55:33	8632800470	909800	incoming	DAHDI/i1/8632800470-13c7e	Dial	28
8632800470	2019-11-13 12:56:13	8632800470	s	incoming	Local/s@incoming-000113e8;2	Dial	2
4742774213	2019-11-13 12:56:51	4742774213	s	incoming	Local/s@incoming-000113ea;2	Dial	2
4742774213	2019-11-13 12:56:51	4742774213	909800	incoming	DAHDI/i1/4742774213-13c83	Dial	27
4742774213	2019-11-13 12:57:31	4742774213	s	incoming	Local/s@incoming-000113ee;2	Dial	2
8632800470	2019-11-13 12:56:13	8632800470	909800	incoming	DAHDI/i1/8632800470-13c81	Dial	98
4742774213	2019-11-13 12:57:31	4742774213	909800	incoming	DAHDI/i1/4742774213-13c84	Dial	25
9192589450	2019-11-13 12:58:47	9192589450	s	incoming	Local/s@incoming-000113f0;2	Dial	2
9192589450	2019-11-13 12:58:47	9192589450	909800	incoming	DAHDI/i1/9192589450-13c85	Dial	22
9192589450	2019-11-13 12:59:49	9192589450	s	incoming	Local/s@incoming-000113f2;2	Dial	2
9192589450	2019-11-13 12:59:49	9192589450	909800	incoming	DAHDI/i1/9192589450-13c87	Dial	43
9192589450	2019-11-13 13:02:06	9192589450	s	incoming	Local/s@incoming-000113f4;2	Dial	2
9192589450	2019-11-13 13:02:06	9192589450	909800	incoming	DAHDI/i1/9192589450-13c89	Dial	37
4742774213	2019-11-13 13:05:06	4742774213	s	incoming	Local/s@incoming-000113f6;2	Dial	2
4742774213	2019-11-13 13:05:06	4742774213	909800	incoming	DAHDI/i1/4742774213-13c8b	Dial	11
4742774213	2019-11-13 13:05:32	4742774213	s	incoming	Local/s@incoming-000113f8;2	Dial	2
4742774213	2019-11-13 13:05:32	4742774213	909800	incoming	DAHDI/i1/4742774213-13c8c	Dial	4
9192589450	2019-11-13 13:08:02	9192589450	s	incoming	Local/s@incoming-000113fa;2	Dial	2
4742780977	2019-11-13 13:08:58	4742780977	s	incoming	Local/s@incoming-000113fc;2	Dial	3
84747521168	2019-11-13 13:09:23	84747521168	s	incoming	Local/s@incoming-000113fe;2	Dial	2
4742780977	2019-11-13 13:08:58	4742780977	242717	incoming	SIP/megafon-000482ec	Dial	72
9192589450	2019-11-13 13:08:02	9192589450	909800	incoming	DAHDI/i1/9192589450-13c8e	Dial	128
4742731629	2019-11-13 13:12:40	4742731629	s	incoming	Local/s@incoming-00011400;2	Dial	2
4742731629	2019-11-13 13:12:40	4742731629	909800	incoming	DAHDI/i1/4742731629-13c92	Dial	28
84742789214	2019-11-13 13:16:25	84742789214	s	incoming	Local/s@incoming-00011402;2	Dial	2
4742774213	2019-11-13 13:16:31	4742774213	s	incoming	Local/s@incoming-00011404;2	Dial	2
4742774213	2019-11-13 13:16:31	4742774213	909800	incoming	DAHDI/i1/4742774213-13c98	Dial	6
4742774213	2019-11-13 13:16:47	4742774213	s	incoming	Local/s@incoming-00011406;2	Dial	2
84742789214	2019-11-13 13:16:25	84742789214	909800	incoming	DAHDI/i1/84742789214-13c97	Dial	43
4742431273	2019-11-13 13:17:06	4742431273	s	incoming	Local/s@incoming-00011408;2	Dial	2
4742731629	2019-11-13 13:17:45	4742731629	s	incoming	Local/s@incoming-0001140a;2	Dial	2
4742731629	2019-11-13 13:17:45	4742731629	909800	incoming	DAHDI/i1/4742731629-13c9c	Dial	5
